λαμβάνονται	λαμβάν+ονται	λαμβάν+ονται
πριν	πριν	πρ+ιν
πρωτοβουλία	πρωτ+ο+βουλ+ία	πρωτοβουλί+α
διάσκεψη	διά+σκεψη	διάσκεψ+η
δεύτερο	δεύτερ+ο	δεύτερ+ο
τις	τις	τις
που	που	που
ίδρυμα	ίδρυ+μα	ίδρυ+μ+α
εδώ	εδώ	εδ+ώ
πέρυσι	πέρυσι	πέρυσ+ι
ορισμού	ορισμ+ού	ορισμ+ού
δήλωση	δήλ+ωση	δήλω+σ+η
εξαιρέσεις	εξ+αιρέσ+εις	εξ+αιρέσ+εις
συνεπώς	συν+επ+ώς	συνεπ+ώς
όργανα	όργαν+α	όργαν+α
τώρα	τώρα	τώρ+α
ενώ	ενώ	εν+ώ
σκληρό	σκληρ+ό	σκληρ+ό
δυνάμεις	δυνάμει+ς	δυνάμ+εις
ειρηνευτική	ειρηνευτ+ικ+ή	ειρηνευ+τικ+ή
νομίζω	νομ+ίζ+ω	νομ+ίζ+ω
σας	σας	σας
συμμάχους	συμ+μάχ+ους	συμμάχ+ους
περισσότερο	περισσ+ότερ+ο	περισσότερ+ο
ακόμη	ακόμη	ακόμ+η
κάτω	κάτω	κάτ+ω
έχουμε	έχ+ουμε	έχ+ουμε
ελεύθερη	ελεύθερ+η	ελεύθερ+η
κυρία	κυρί+α	κυρί+α
θέσπιση	θέσπ+ιση	θέσπι+σ+η
πτυχές	πτυχ+ές	πτυχ+ές
σημαντικό	σημαντ+ικ+ό	σημαν+τικ+ό
τασσόμαστε	τασσ+όμαστε	τασσ+όμαστε
επίτευξη	επί+τευξη	επίτευ+ξ+η
κανονισμούς	κανον+ισμ+ούς	κανονισμ+ούς
σύστημα	σύ+στη+μα	σύστη+μ+α
σταθερότητας	σταθερ+ότητα+ς	σταθερότητ+ας
υπολογίσουμε	υπο+λογίσ+ουμε	υπολογίσ+ουμε
νησί	νησ+ί	νησ+ί
επόμενο	επ+όμεν+ο	επόμεν+ο
ενημέρωση	εν+ημέρ+ωσ+η	εν+ημέρω+σ+η
κορυφής	κορυφή+ς	κορυφ+ής
τιμούμε	τιμ+ούμε	τιμ+ούμε
ευθέως	ευθέ+ως	ευθέως
ευρωβουλευτής	ευρω+βουλευ+τής	ευρωβουλευ+τ+ής
ώστε	ώστε	ώστε
διάσταση	διά+σταση	διάστα+σ+η
υπονομεύονται	υπο+νομεύ+ονται	υπο+νομεύ+ονται
αιτήματά	αιτήματ+ά	αιτήματ+ά
δίκτυα	δίκτυ+α	δίκτυ+α
επεσήμαναν	επε+σήμαν+αν	επεσήμαν+αν
ανακοίνωση	ανα+κοίν+ωση	ανα+κοίνω+σ+η
πω	πω	π+ω
αποφύγει	απο+φύγ+ει	αποφύγ+ει
κατέχουν	κατ+έχ+ουν	κατέχ+ουν
φορολογικές	φορ+ο+λογ+ικ+ές	φορολογικ+ές
αυτή	αυτή	αυτή
πολωνούς	πολων+ούς	πολων+ούς
προσπάθησε	προσ+πάθ+ησε	προσπάθησε
ευθύνες	ευθύν+ες	ευθύν+ες
αντιθέτως	αντι+θέτ+ως	αντιθέτ+ως
κάπως	κάπ+ως	κάπ+ως
διακρίσεις	δια+κρίσ+εις	διακρίσ+εις
επιπλέον	επι+πλέον	επιπλέ+ον
αποφάσεις	απο+φάσει+ς	αποφάσ+εις
κάθε	κάθε	κάθ+ε
ψέματα	ψέματ+α	ψέμ+ατα
συνεκτική	συν+εκτ+ικ+ή	συνεκ+τικ+ή
εξετάζουμε	εξ+ετάζ+ουμε	εξ+ετάζ+ουμε
ενέργειας	εν+έργεια+ς	εν+έργει+ας
τραπέζι	τραπέζι	τραπέζ+ι
επιτρέψουμε	επι+τρέψ+ουμε	επιτρέψ+ουμε
βήμα	βήμα	βήμ+α
κοινοβούλιο	κοιν+ο+βούλ+ιο	κοινοβούλι+ο
αναλογικότητας	ανα+λογ+ικ+ότητα+ς	αναλογικότητ+ας
νόμο	νόμ+ο	νόμ+ο
εντός	εντός	εν+τ+ός
εταιριών	εταιρι+ών	εταιρ+ι+ών
σημειώθηκε	σημειώ+θη+κε	σημειώθ+ηκε
σκοπό	σκοπ+ό	σκοπ+ό
προειδοποίησης	προ+ειδ+ο+ποί+ηση+ς	προ+ειδοποίησ+ης
κεφάλαια	κεφάλαι+α	κεφάλ+αι+α
τεράστια	τεράστι+α	τεράστι+α
γεγονός	γεγονός	γεγον+ός
αϊτής	αϊτή+ς	αϊτ+ής
διάστημα	διά+στημα	διάστη+μ+α
κοινού	κοιν+ού	κοιν+ού
πληροφόρησης	πληρ+ο+φόρ+ηση+ς	πληροφόρησ+ης
γι'	γι'	γι+'
αντιμετωπίζουμε	αντι+μετωπ+ίζ+ουμε	αντι+μετωπίζ+ουμε
συμμόρφωση	συμ+μόρφ+ωση	συμμόρφω+σ+η
προσυπογράφω	προσ+υπο+γράφ+ω	προσυπογράφ+ω
αξίες	αξί+ες	αξί+ες
παρά	παρά	παρ+ά
έκθεσης	έκ+θεση+ς	έκ+θεσ+ης
έκθεση	έκ+θεση	έκ+θε+σ+η
αυτών	αυτ+ών	αυτ+ών
ενίσχυσης	εν+ίσχυση+ς	εν+ίσχυσ+ης
ανοικτού	ανοικτ+ού	ανοικτ+ού
επιπτώσεις	επι+πτώσει+ς	επιπτώσ+εις
ίδιοι	ίδι+οι	ίδι+οι
επεκταθεί	επε+κτα+θεί	επεκταθ+εί
μην	μην	μην
σημασία	σημασ+ία	σημα+σί+α
