attend	attend	attend
remercie	re+merci+e	re+mercie
hé	hé	hé
réparé	répar+é	réparé
deb	deb	deb
même	même	même
comprend	com+prend	comprend
lors	lors	lors
difficile	diffic+ile	difficile
serait	s+er+ait	serait
chère	chèr+e	chère
gob	gob	gob
laquelle	la+quell+e	la+quell+e
guérir	guér+i+r	guérir
trouve	trouv+e	trouve
proposer	pro+pos+e+r	propos+er
habitude	habit+ude	habit+ude
vivait	viv+ait	viv+ait
conciliation	concili+at+ion	concili+ation
déclarations	déclar+at+ion+s	dé+clar+ation+s
doutez	dout+ez	dout+ez
cadeau	cadeau	cadeau
regrette	regrett+e	regrette
représentante	re+présent+ant+e	re+présent+ant+e
gros	gros	gros
pouvoirs	pouv+oir+s	pouvoirs
brûlé	brûl+é	brûlé
travail	travail	travail
multilatérale	multi+latéral+e	multi+latéral+e
réputation	réput+at+ion	réput+ation
ciel	ciel	ciel
callahan	callahan	callahan
sensible	sens+i+bl+e	sensi+ble
tyler	tyler	tyl+er
idée	idé+e	idée
aucune	aucun+e	aucune
maladie	malad+ie	mal+adie
amiral	amiral	amiral
douzaine	douz+ain+e	douz+aine
pays	pays	pays
probablement	probable+ment	probable+ment
écoute	écout+e	écoute
jusqu'	jus+qu'	jusqu+'
encore	encore	encore
ensemble	en+semble	en+semble
alerte	alert+e	alerte
planètes	planèt+e+s	planète+s
dehors	de+hors	dehors
depuis	de+puis	depuis
hormis	hor+mis	hormis
cas	cas	cas
point	point	point
tel	tel	tel
partir	part+i+r	partir
froid	froid	froid
mois	mois	mois
dernière	dern+ièr+e	derni+ère
seriez	ser+iez	seriez
matière	matièr+e	matière
vain	vain	vain
mettre	mett+re	mettre
peu	peu	peu
tri	tri	tri
pressé	press+é	pressé
voté	vot+é	voté
signal	signal	sign+al
pavillon	pavillon	pavillon
comme	comme	comme
aime	aim+e	aime
hélico	hélico	hélico
responsabilités	respons+abil+ité+s	responsabil+ités
famille	famille	famille
la	la	la
fête	fêt+e	fête
fonction	fonct+ion	fonction
sers	sers	sers
l’	l’	l+’
illégalement	il+légal+e+ment	il+légal+ement
oreilles	oreille+s	oreille+s
aujourd'hui	au+jour+d'+hui	aujourd+'hu+i
investissements	invest+is+se+ment+s	investiss+ement+s
traite	trait+e	traite
pouvez	pouv+ez	pouvez
relative	relat+ive	relat+ive
mangeur	mang+eur	mang+eur
s'	s'	s+'
oublié	oubli+é	oubli+é
éventuels	évent+uel+s	éventu+el+s
rétablir	r+établ+i+r	r+établir
labo	labo	labo
avant	avant	avant
fini	fin+i	fini
quitter	quitt+er	quitt+er
mandat	mandat	mandat
court	court	court
allait	all+ait	a+llait
connus	conn+u+s	connus
statut	statut	statut
normale	norm+al+e	norm+al+e
cardiaque	cardiaque	cardi+aque
mêler	mêl+e+r	mêl+er
petits	petit+s	petit+s
ressemble	re+ssembl+e	re+ssemble
envie	en+vie	envie
annulé	a+nnul+é	a+nnulé
lu	l+u	lu
moyenne	moyenn+e	moyenne
père	pèr+e	père
devenus	de+ven+u+s	devenus
heureux	heur+eux	heur+eux
dépourvu	dé+pour+vu	dé+pourvu
laisser	laiss+er	laiss+er
fois	fois	fois
suédoise	suéd+ois+e	suédoise
exprimer	ex+prim+e+r	exprim+er
entré	entr+é	entré
service	serv+ice	serv+ice
promener	pro+men+e+r	promen+er
puis	puis	puis
intime	intim+e	intime
gazoduc	gaz+o+duc	gazoduc
denny	denny	denny
adhésion	ad+hés+ion	adhés+ion
morts	mort+s	morts
prenez	pren+ez	prenez
rôle	rôle	rôle
doit	d+oit	doit
sieur	sieur	sieur
renforcer	r+en+forc+er	r+en+forc+er
suite	suit+e	suite
entreprendre	entre+prend+r+e	entre+prendre
identifie	identif+i+e	ident+ifie
économique	économ+ique	éco+nom+ique
mandataire	mandat+air+e	mandat+aire
souhaitant	sou+hait+ant	souhait+ant
bon	bon	bon
maison	maison	maison
explicitement	ex+plicit+e+ment	explicite+ment
quelqu'un	quel+qu'+un	quelqu'un
prendre	prend+re	prendre
fils	fils	fils
tellement	tell+e+ment	telle+ment
penser	pens+er	penser
centre	centre	centre
parlement	parl+e+ment	parle+ment
alison	alison	alison
aider	aid+e+r	aid+er
ta	ta	ta
hadès	hadès	hadès
cathéter	cathéter	cathéter
autres	autre+s	autre+s
tes	t+es	tes
relation	relat+ion	relat+ion
-moi	-moi	-moi
tentatives	tentat+ive+s	tentat+ive+s
libère	libèr+e	libère
efficace	efficac+e	effic+ace
juin	juin	juin
avez	av+ez	avez
enregistrement	en+registr+e+ment	en+registre+ment
mama	mama	mama
veux	veu+x	veux
vérité	vér+it+é	vér+ité
membres	membr+es	membre+s
polonais	polon+ais	polonais
conseil	conseil	conseil
tous	tous	tous
deuxième	deux+ième	deux+ième
élargissement	é+larg+is+se+ment	é+larg+iss+e+ment
chantes	chant+e+s	chantes
parler	parl+er	parl+er
parti	part+i	parti
mal	mal	mal
approchait	a+pproch+ait	a+pproch+ait
vivant	viv+ant	viv+ant
queue	queue	queue
ait	a+it	ait
pat	pat	pat
peggy	peggy	peggy
domaine	domaine	dom+aine
tout	tout	tout
brad	brad	brad
tentait	tent+ait	tentait
défaite	dé+f+ait+e	dé+faite
plus	plus	plus
nom	nom	nom
cerveau	cerv+eau	cerveau
suivant	suiv+ant	suiv+ant
ukrainiens	ukrain+ien+s	ukrain+ien+s
meilleur	meilleur	meill+eur
changerai	chang+er+ai	chang+erai
où	où	où
voici	voi+ci	voici
aide	aid+e	aide
définir	défin+i+r	dé+fin+ir
refus	refus	refus
belle-fille	bel+le+-+fil+le	belle+-fille
