#ID	FORM	REVERTED	LEMMA	UPOS	FEATS	PPM	TRANSLIT	ANNOTATION	COMMENT
143	автомобиль	ьлибомотва	автомобиль	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	9.2	avtomobil'	авто+мобил+ь	
193	башка	акшаб	башка	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	1.9	bashka	башк+а	
199	беспорядков	вокдяропсеб	беспорядки	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	1.7	besporiadkov	бес+по+ряд+к+ов	
174	благодарим	мирадогалб	благодарить	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	3.9	blagodarim	благо+дар+им	
7	больше	ешьлоб	больше	ADV	Degree=Cmp	565.4	bol'she	бол+ь+ш+е	
23	больше	ешьлоб	много	ADV	Degree=Cmp	343.0	bol'she	бол+ь+ш+е	
177	большому	умошьлоб	большой	ADJ	Case=Dat|Degree=Pos|Gender=Masc|Number=Sing	3.4	bol'shomu	бол+ь+ш+ому	
28	будем	медуб	быть	AUX	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	286.5	budem	буд+ем	
24	буду	удуб	быть	AUX	Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	341.1	budu	буду	
32	вами	имав	вы	PRON	Case=Ins|Number=Plur|Person=2|PronType=Prs	247.2	vami	вам+и	
40	ваша	ашав	ваш	DET	Case=Nom|Gender=Fem|Number=Sing|Poss=Yes|PronType=Prs	178.3	vasha	ваш+а	
131	вправду	удварпв	вправду	ADV	Degree=Pos	14.5	vpravdu	в+прав+д+у	
118	величество	овтсечилев	Величество	PROPN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	20.8	velichestvo	вел+ич+еств+о	
64	верю	юрев	верить	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	91.9	veriu	вер+ю	
22	видел	ледив	видеть	VERB	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	344.4	videl	видел	
162	визита	атизив	визит	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	5.6	vizita	виз+ит+а	!
35	во	ов	во	ADP		217.4	vo	во	podobne jako co
18	вообще	ещбоов	вообще	ADV	Degree=Pos	376.9	voobshche	во+общ+е	
