electus	elect+us	elect+us
fuisse	fu+isse	fu+isse
francogallica	franc+o+gallic+a	francogall+ic+a
definiebant	de+fini+e+ba+nt	de+fin+iebant
fecit	fec+it	fec+it
schmidt	schmidt	schmidt
nervus	nerv+us	nerv+us
fecerunt	fec+er+unt	fec+erunt
nihilominus	nihil+o+minus	nihilominus
duos	du+os	du+os
218	218	218
plebs	pleb+s	plebs
possunt	pos+s+unt	poss+unt
palatium	palati+um	palat+ium
spe	sp+e	sp+e
matrimoniali	matr+i+moni+al+i	matrimoni+al+i
fratribus	fratr+ibus	fratr+ibus
manifestationes	mani+fest+a+t+ion+es	manifesta+tion+es
maxime	max+im+e	maxim+e
vocari	voc+a+ri	voc+ari
posteriora	post+er+ior+a	poster+ior+a
mater	mater	mater
queer	queer	queer
portu	port+u	port+u
tandem	tan+dem	tand+em
postremo	postrem+o	postrem+o
mittitur	mitt+it+ur	mitt+itur
translationem	trans+lat+ion+em	transla+tion+em
venenum	venen+um	venen+um
porro	porr+o	porr+o
commercialis	com+merci+al+is	commerci+al+is
longior	long+ior	long+ior
viri	vir+i	vir+i
vesuvium	vesuvi+um	vesuv+ium
fluvium	fluvi+um	fluv+ium
perses	pers+es	perses
puella	puell+a	pu+ell+a
sibi	sib+i	sib+i
occurrerunt	oc+curr+er+unt	occurr+erunt
novas	nov+as	nov+as
populi	popul+i	popul+i
eadem	ea+dem	ea+dem
agitur	ag+i+t+ur	ag+itur
obiit	obi+it	ob+i+it
radiationis	radi+at+ion+is	radia+tion+is
terminum	termin+um	termin+um
nundinas	nun+din+as	nundin+as
his	h+is	his
multi	mult+i	mult+i
mentio	ment+io	mentio
virus	vir+us	vir+us
imagine	imagin+e	imagin+e
etc	et+c	etc
satellitum	satellit+um	satell+it+um
i	i	i
coluntur	col+u+nt+ur	col+untur
divisio	divis+io	divis+io
servitutem	serv+i+tut+em	servitut+em
guineae	guine+ae	guin+e+ae
deductum	de+duc+t+um	de+duct+um
paulatim	paul+atim	paul+at+im
ruminantia	rumin+a+nt+ia	rumin+ant+ia
repertus	re+per+t+us	repert+us
tabulis	tabul+is	tabul+is
theodoricus	theodoric+us	theodoric+us
aedificia	aedi+fici+a	aedific+ia
poenam	poen+am	poen+am
regulos	reg+ul+os	regul+os
medicus	medic+us	medic+us
degentium	de+gent+ium	deg+ent+ium
1200	1200	1200
gratia	grati+a	grat+ia
domibus	dom+ibus	dom+ibus
2021	2021	2021
sententia	sent+e+nt+ia	sent+ent+ia
religionem	religion+em	religion+em
coram	coram	cor+am
vestis	vest+is	vest+is
unum	un+um	un+um
excudebat	ex+cud+e+ba+t	ex+cud+ebat
saravipontis	saravi+pont+is	saravipont+is
caviae	cavi+ae	cav+i+ae
reditus	red+it+us	redit+us
rei	re+i	r+e+i
ecclesiae	ecclesi+ae	eccles+i+ae
attractiones	at+trac+tion+es	attrac+tion+es
filium	fili+um	fil+ium
adventiciis	ad+vent+ici+is	adventic+iis
inveniuntur	in+ven+i+u+nt+ur	inven+iuntur
vulgo	vulg+o	vulg+o
gaius	gai+us	gaius
psd	psd	psd
multae	mult+ae	mult+ae
adhuc	ad+huc	adhuc
palatii	palati+i	palat+ii
confitetur	con+fit+e+tur	confit+etur
sepulcrum	sepulcr+um	sepul+cr+um
ediscere	e+disc+e+re	edisc+ere
p	p	p
aedes	aed+es	aed+es
destructi	de+struc+t+i	de+struct+i
valde	vald+e	valde
textilibus	text+il+ibus	textil+ibus
promulgati	pro+mulg+a+t+i	promulg+at+i
carminius	carmin+i+us	carmin+ius
involucrum	in+volu+cr+um	in+volucr+um
orenburgensis	orenburg+ensis	orenburg+ens+is
pago	pag+o	pago
theologus	theo+log+us	theolog+us
duo	du+o	duo
eligimus	e+lig+imus	elig+imus
bello	bell+o	bell+o
variare	vari+a+re	vari+are
condidit	con+did+i+t	condid+it
opus	op+us	opus
ordinem	ordin+em	ordin+em
dat	d+a+t	d+at
narrare	narr+a+re	narr+are
una	un+a	un+a
duas	du+as	du+as
efficere	ef+fic+e+re	effic+ere
columbianum	columbi+an+um	columbian+um
berolini	berolin+i	berolin+i
1920	1920	1920
saporem	sapor+em	sapor+em
habitabant	hab+it+a+ba+nt	habit+abant
965	965	965
pugna	pugn+a	pugn+a
macellum	macell+um	mac+ell+um
scholis	schol+is	schol+is
valesii	valesi+i	vales+ii
haud	haud	haud
primo	prim+o	prim+o
invitaret	in+vit+a+re+t	in+vit+aret
at	at	at
natum	na+t+um	nat+um
commodus	com+mod+us	commod+us
latinum	latin+um	latin+um
totius	toti+us	tot+ius
forum	for+um	for+um
punctum	punct+um	punct+um
singulis	singul+is	singul+is
europaeis	europ+ae+is	europ+aeis
planetarum	planet+arum	planet+arum
nonnulla	non+null+a	nonnull+a
sua	su+a	su+a
aquas	aqu+as	aqu+as
titulum	titul+um	titul+um
cursus	curs+us	curs+us
disciplina	disciplin+a	disciplin+a
speciei	speci+ei	speci+ei
artificiosam	art+i+fic+i+os+am	artifici+os+am
debuerunt	deb+u+er+unt	debu+erunt
causa	caus+a	caus+a
quin	quin	quin
mox	mox	mox
1812	1812	1812
forma	form+a	form+a
spectatores	spect+a+tor+es	specta+tor+es
remissus	re+miss+us	re+miss+us
ortus	ort+us	ort+us
nascitur	nasc+it+ur	nasc+itur
parant	par+a+nt	par+ant
253	253	253
pote	pot+e	pote
aspectus	as+pec+t+us	aspect+us
1660	1660	1660
primus	prim+us	prim+us
venerem	vener+em	vener+em
dum	dum	dum
incerta	in+cert+a	incert+a
silence	silence	silenc+e
semper	semper	semper
lexicon	lexic+on	lexicon
cfr	cfr	cfr
autocineta	auto+cinet+a	autocinet+a
partem	part+em	part+em
agathonis	agathon+is	agathon+is
sociales	soci+al+es	soci+al+es
orientalem	orient+al+em	orient+al+em
facta	fac+t+a	fact+a
politicae	politic+ae	politic+ae
alii	ali+i	ali+i
poslednije	poslednije	posledn+i+je
suo	su+o	su+o
habent	hab+e+nt	hab+ent
exploratio	ex+plor+a+t+io	explora+tio
ordo	ord+o	ordo
possit	pos+si+t	poss+i+t
laeva	laev+a	lae+v+a
