мужик	муж+ик	муж+ик
сохранять	со+хран+я+ть	со+хран+я+ть
чём	ч+ём	чём
собирать	со+бир+а+ть	со+бир+а+ть
побеждает	по+бежд+а+ет	по+беждает
такое	т+ак+ое	так+ое
его	его	его
случилось	с+луч+и+л+о+сь	случ+и+лос+ь
глуп	глуп	глуп
стоять	сто+я+ть	сто+я+ть
всех	вс+ех	всех
себя	с+еб+я	себ+я
других	друг+их	друг+их
текилы	текил+ы	тек+и+л+ы
подходящее	под+ход+ящ+е+е	под+ход+ящ+ее
женщин	жен+щин	жен+щин
суку	сук+у	сук+у
относишься	от+нос+и+шь+ся	от+нос+ишь+ся
самое	с+ам+ое	сам+ое
величество	велич+е+ств+о	вел+ич+еств+о
автомобиль	авто+мобиль	авто+мобил+ь
ребята	реб+ят+а	реб+ят+а
компания	ком+пан+и+я	компан+и+я
спросил	с+прос+и+л	с+про+сил
уверить	у+вер+и+ть	у+вер+и+ть
разделились	раз+дел+и+л+и+сь	раз+дели+лис+ь
раз	раз	раз
спасти	с+пас+ти	с+пас+ти
судя	суд+я	суд+я
закону	закон+у	за+кон+у
короля	корол+я	корол+я
путь	путь	пут+ь
реакцию	ре+ак+ц+и+ю	ре+ак+ц+и+ю
примеров	при+мер+ов	при+меров
иерусалиме	иерусалим+е	иерус+а+л+и+ме
угрожает	у+грож+а+е+т	угр+ож+ает
остановимся	о+ста+н+ов+им+ся	о+ста+н+ов+им+ся
нашей	н+аш+ей	на+шей
доктор	доктор	доктор
джонни	джонн+и	джонн+и
девушкам	дев+уш+к+ам	дев+ушк+ам
утром	утр+ом	утр+ом
пишу	пиш+у	пиш+у
бедный	бед+н+ый	бед+н+ый
подумать	по+дум+а+ть	по+дум+а+ть
группы	групп+ы	групп+ы
во	во	во
жалуюсь	жал+ую+сь	жалуюс+ь
сказали	с+каз+а+л+и	с+каз+а+ли
пот	пот	пот
неплохо	не+плох+о	не+плох+о
пошли	по+ш+л+и	по+ш+л+и
представляете	пред+став+л+я+е+те	пред+ста+в+л+я+ет+е
жертв	жертв	жертв
корень	коре+нь	корен+ь
смотри	смотр+и	смотр+и
довольно	до+воль+н+о	до+вол+ь+н+о
двух	дв+ух	двух
башка	башк+а	башк+а
станцию	стан+ц+и+ю	станци+ю
слава	слав+а	слав+а
делает	дел+а+е+т	дел+а+ет
постоянно	по+сто+янн+о	по+сто+я+нн+о
смысла	с+мысл+а	с+мысл+а
изменили	из+мен+и+л+и	из+мен+и+л+и
жестоко	жест+ок+о	жесток+о
вайолет	вайолет	вайо+лет
жизни	жи+зн+и	жи+зн+и
защищают	за+щищ+а+ют	за+щищ+ают
рискуют	риск+у+ют	рискуют
три	тр+и	тр+и
четыре	четыр+е	четыр+е
жаль	жал+ь	жал+ь
какого-то	к+ак+ого+-то	какого+-+то
большому	боль+ш+ому	бол+ь+ш+ому
одну	одн+у	одн+у
что-нибудь	ч+то+-ни+б+удь	что+-+ни+буд+ь
многим	мног+им	мног+им
ждал	жд+а+л	ждал
возможно	воз+мож+н+о	воз+мож+н+о
президента	пре+зид+ент+а	пре+зид+ент+а
вправду	в+прав+д+у	в+прав+д+у
выйдя	вы+йд+я	вы+йд+я
сообщество	со+общ+е+ств+о	со+общ+еств+о
вами	в+ами	вам+и
отца	отц+а	отц+а
нравится	нрав+и+т+ся	нрав+ит+ся
экономические	эко+ном+ич+еск+ие	эко+ном+ич+еск+и+е
должна	долж+н+а	долж+н+а
кем-то	к+ем+-то	кем+-+то
со	со	со
этом	э+т+ом	эт+ом
могли	мог+л+и	мог+ли
такого	т+ак+ого	такого
больше	боль+ш+е	бол+ь+ш+е
фильм	фильм	фил+ьм
ввиду	в+вид+у	в+вид+у
смотрела	смотр+е+л+а	смо+тр+ел+а
убивали	у+бив+а+л+и	у+би+ва+ли
пред	пред	пред
чем	ч+ем	чем
две	дв+е	дв+е
осмотреться	о+смотр+е+ть+ся	о+смотр+е+ть+ся
один	один	один
мать	мать	мат+ь
ваша	в+аш+а	ваш+а
проблемах	проблем+ах	про+блем+ах
после	по+сле	после
проверить	про+вер+и+ть	про+вер+и+ть
надписью	над+пис+ь+ю	над+пис+ь+ю
потом	по+т+ом	по+т+ом
сделал	с+дел+а+л	с+де+л+а+л
знаете	зна+е+те	зна+ете
парня	парн+я	пар+н+я
силу	сил+у	сил+у
мари	мар+и	мар+и
