grund	grund	grund
lokalen	lok+al+en	lokal+en
zuzufügen	zu+zu+füg+en	zu+zu+füg+en
reihen	reih+en	reih+en
ländern	länd+er+n	länd+er+n
lebte	leb+t+e	lebte
wirtschaftszweig	wirt+schaft+s+zweig	wirt+schaft+s+zweig
sicherzustellen	s+ich+er+zu+st+ell+en	sicher+zu+stell+en
abend	abend	abend
zum	zu+m	zum
draussen	dr+auss+en	dr+aus+s+en
irgendwann	irgend+wann	irgend+wann
informationen	in+forma+tion+en	inform+ation+en
nein	n+ein	nein
gefecht	ge+fech+t	ge+fecht
einschließen	ein+schließ+en	ein+schließ+en
götter	gött+er	gött+er
ihr	ihr	ihr
lauschten	lausch+t+en	lauscht+en
war	w+ar	war
tagesordnung	tag+e+s+ord+n+ung	tag+es+ordn+ung
leid	leid	leid
pferde	pferd+e	pferd+e
gut	gut	gut
tor	tor	tor
ach	ach	ach
sieh	sieh	sieh
etwas	et+was	etwas
hoheitsgebiet	hoh+eit+s+ge+biet	ho+heit+s+gebiet
mein	m+ein	mein
nachstehender	nach+st+e+he+nd+er	nach+stehend+er
schreck	schreck	schreck
handy	hand+y	handy
wieder	wied+er	wieder
kann	kann	kann
liegt	lieg+t	liegt
raus	r+aus	raus
jungs	jung+s	jungs
sturm	sturm	sturm
isabella	isabella	isabella
solche	so+lch+e	solche
gott	gott	gott
wochenende	woch+en+end+e	woche+nende
damit	da+mit	da+mit
angegriffen	an+ge+griff+en	angegriffen
ergab	er+gab	er+gab
kommen	komm+en	komm+en
warte	wart+e	war+t+e
wie	w+ie	wie
bip	bip	bip
wird	wird	wird
wahrscheinlich	wahr+schein+lich	wahrscheinlich
brief	brief	brief
stadt	st+adt	stadt
sowas	so+w+as	so+was
bis	bi+s	bis
leider	leid+er	leider
welche	w+elch+e	welche
hey	hey	hey
zukunft	zu+kunft	zu+kunft
ziehen	zieh+en	zieh+en
ende	end+e	ende
die	d+ie	die
leben	leb+en	leb+en
sagen	sag+en	sag+en
gewachsen	ge+wach+s+en	ge+wachs+en
verstärkung	ver+stärk+ung	ver+stärk+ung
räusperte	räusper+t+e	räuspert+e
frau	frau	frau
mutter	mutt+er	mutter
gerade	ge+rade	gerade
meine	m+ein+e	mein+e
daneben	da+neben	da+neben
bunker	bunk+er	bunk+er
welt	welt	welt
bestimmte	be+stimm+t+e	bestimmte
geküßt	ge+küß+t	ge+küßt
abkommen	ab+komm+en	ab+komm+en
wütend	wüt+en+d	wütend
weh	weh	weh
grenzen	grenz+en	grenz+en
nacht	nacht	nacht
sterben	sterb+en	sterb+en
blau	blau	blau
schaffen	schaff+en	schaff+en
zuerst	zu+erst	zu+erst
wofür	wo+für	wo+für
einheit	ein+heit	ein+heit
sieht	sieh+t	sieh+t
ging	ging	ging
wollen	woll+en	woll+en
fügte	füg+t+e	fügte
komm	komm	komm
werde	werd+e	werd+e
gewisser	ge+wiss+er	ge+wiss+er
kind	kind	kind
inspektor	in+spek+t+or	inspekt+or
gesagt	ge+sag+t	gesagt
leichnam	leich+nam	leichn+am
wohnzimmer	wohn+zimm+er	wohn+zimmer
angesichts	an+ge+sich+t+s	angesichts
schob	schob	schob
wollte	woll+t+e	wollt+e
wissen	wiss+en	wiss+en
bedingungen	be+ding+ung+en	be+ding+ung+en
familien	famil+i+en	famili+en
