postre	postre	postr+e
cuenta	cuent+a	cuent+a
grupo	grupo	grupo
va	v+a	va
definitiva	de+fin+itiv+a	defin+itiv+a
marcó	marc+ó	marc+ó
mayores	mayor+es	mayor+es
entrada	entr+ada	entr+ad+a
tu	tu	tu
millones	millon+es	millon+es
fitz	fitz	fitz
vayan	vay+an	vay+an
hallar	hall+ar	hall+ar
bart	bart	bart
especial	especi+al	especi+al
datos	dat+os	dat+os
ve	v+e	ve
sepas	sep+as	sepa+s
garcia	garcia	garcia
todos	tod+os	tod+os
guión	gui+ón	guión
li	li	li
entendido	en+tend+id+o	en+tend+ido
sacaba	sac+a+ba	sac+aba
trabajo	trabaj+o	trabajo
palabra	palabr+a	palabra
pagan	pag+a+n	pag+an
negociaciones	negoci+acion+es	negoci+acion+es
patas	pat+as	pat+as
solo	sol+o	solo
desafíos	des+a+fío+s	des+afí+os
propuesta	pro+puest+a	pro+puest+a
mejores	mejor+es	mejor+es
fuerza	fuerz+a	fuerza
pensaría	pens+ar+ía	pens+aría
propias	prop+ias	propi+as
notificará	noti+fic+ar+á	noti+fic+ará
ganaremos	gan+ar+emos	gan+aremos
otras	otr+as	otr+as
permitas	permit+as	permit+as
frecuencia	frecu+encia	frecu+encia
vidas	vid+as	vid+as
maldiciones	mal+dic+ion+es	maldicion+es
dejarte	dej+ar+te	dej+arte
reto	ret+o	ret+o
central	centr+al	centr+al
parada	par+ada	par+ad+a
cabeza	cabeza	cabeza
controlar	control+ar	control+ar
observa	observ+a	ob+serv+a
presentan	present+a+n	pre+sent+an
c.	c.	c+.
murió	mur+ió	mur+ió
asesinos	asesin+os	asesin+os
evidentes	evident+es	evid+ente+s
embargo	em+bar+go	embarg+o
protección	protec+ción	pro+tección
leroy	leroy	leroy
libre	libre	libre
año	año	año
registro	registr+o	registr+o
espacial	espacial	espaci+al
mismo	mism+o	mism+o
siento	sient+o	sient+o
decidir	de+cid+ir	decid+ir
salvará	salv+ar+á	salv+ará
mordor	mordor	mordor
santo	sant+o	santo
están	est+á+n	est+án
tal	tal	tal
fuente	fuente	fuente
comenzó	co+menz+ó	comenz+ó
arruinó	arruin+ó	a+rruin+ó
bandas	band+as	banda+s
morton	morton	morton
hace	hac+e	hac+e
una	un+a	un+a
transporte	trans+port+e	trans+porte
mafioso	maf+ios+o	mafi+os+o
elaborada	el+abor+ada	e+labor+ad+a
contigo	con+ti+go	contig+o
cen	cen	cen
día	día	día
células	célul+as	célula+s
cosa	cos+a	cosa
listas	list+as	list+a+s
borrado	borr+ad+o	borr+ad+o
irlandesa	irland+es+a	irl+and+es+a
dormía	dorm+ía	dormí+a
siempre	siempre	siempre
nadie	nad+ie	nadie
entorno	en+torno	en+torno
mitad	mitad	mitad
hablando	habl+a+ndo	habl+ando
bueno	buen+o	buen+o
sobrevivimos	sobre+viv+i+mos	sobre+viv+imos
vivía	viv+í+a	viv+ía
se	se	se
entiendes	entiend+es	ent+iend+es
guantánamo	guantánamo	guant+ánamo
suspendido	sus+pend+id+o	sus+pend+ido
donde	don+de	donde
sorprende	sorprend+e	sorprend+e
productores	product+or+es	pro+duct+or+es
minutos	minut+os	minuto+s
forma	form+a	forma
rehabilitación	re+habil+ita+ción	rehabil+it+ación
sacaban	sac+a+ban	sac+aban
quise	quis+e	quis+e
pienso	piens+o	pienso
aunque	aun+que	aunque
acercaba	acerc+a+ba	a+cerc+aba
esperamos	esper+a+mos	esper+amos
planteamiento	plant+e+amient+o	plant+e+amiento
slytherin	slytherin	slyth+erin
fuego	fuego	fueg+o
campana	campan+a	campan+a
acciones	accion+es	accion+es
puesto	puesto	puest+o
dime	di+me	dim+e
quejaba	quej+a+ba	quej+aba
justo	just+o	just+o
delicado	delic+ad+o	delic+ad+o
sucedido	su+ced+id+o	suced+id+o
blancas	blanc+as	blanc+a+s
preguntas	pregunt+as	pregunta+s
cenar	cen+ar	cen+ar
montando	mont+a+ndo	mont+ando
éramos	ér+a+mos	ér+amos
tienen	tien+en	tien+en
suerte	suerte	suerte
momento	moment+o	momento
patrimonio	patri+monio	patrimonio
acaba	acab+a	acaba
auto	auto	auto
global	glob+al	glob+al
desperté	desper+té	des+pert+é
tres	tres	tres
visto	vist+o	vist+o
difícil	difí+cil	di+fícil
dejes	dej+es	dej+es
royal	royal	royal
recuerdas	recuerd+as	re+cuerd+as
rumor	rumor	rumor
chicos	chic+os	chic+os
engañaba	engañ+a+ba	engañ+aba
borde	borde	borde
gafas	gaf+as	gaf+a+s
internet	internet	intern+et
contratos	con+trato+s	contrat+os
garantizados	garantiz+ad+os	garant+iz+ad+os
jimmy	jimmy	jimmy
queríamos	quer+ía+mos	quer+íamos
profesor	profes+or	profesor
irse	ir+se	ir+se
club	club	club
años	año+s	año+s
músculos	múscul+os	múscul+os
pensarás	pens+a+rás	pens+arás
menos	men+os	meno+s
quien	quien	quien
reconocer	re+conoc+er	re+conoc+er
enviado	envi+ad+o	envi+ad+o
búsqueda	bús+qued+a	búsqued+a
vistiendo	vist+i+endo	vist+iendo
debajo	de+baj+o	debajo
entrará	entr+ar+á	entr+ará
hemos	h+emos	hemos
apenas	a+pena+s	apena+s
meses	mes+es	mes+es
ese	ese	es+e
diferentes	diferent+es	di+fer+ente+s
karen	karen	karen
boca	boc+a	boca
acumulando	a+cumul+a+ndo	a+cumul+ando
burocráticos	buro+crát+ic+os	buro+crá+tic+os
espía	espía	espía
estaba	est+a+ba	est+aba
esfuerza	es+fuerz+a	esfuerza
isla	isl+a	isl+a
cometido	co+met+id+o	comet+id+o
conocerme	conoc+er+me	conoc+er+me
retraso	retras+o	retras+o
oferta	ofert+a	ofert+a
jones	jones	jon+es
mía	mía	mía
probar	prob+ar	prob+ar
taquilla	taquill+a	taquill+a
lado	lad+o	lado
cada	cada	cada
pesquera	pesq+uer+a	pesquer+a
ahí	a+hí	ahí
estudio	estudi+o	estudio
usted	usted	ust+ed
diente	diente	diente
parece	parec+e	par+ec+e
consumidores	consum+idor+es	consum+idor+es
tampoco	tam+poco	tampoc+o
fiesta	fiest+a	fiesta
peter	peter	pet+er
